match_id,batting_team,total_runs,wickets
392216,Kings XI Punjab,169,7
392217,Chennai Super Kings,141,3
392217,Rajasthan Royals,140,7
392218,Mumbai Indians,157,2
392218,Royal Challengers Bangalore,141,7
392219,Delhi Daredevils,125,3
392219,Kolkata Knight Riders,123,8
392220,Deccan Chargers,166,7
392220,Rajasthan Royals,113,10
392221,Kolkata Knight Riders,173,4
392221,Royal Challengers Bangalore,176,4
392222,Kings XI Punjab,119,9
392222,Mumbai Indians,122,2
392223,Deccan Chargers,161,10
392223,Delhi Daredevils,173,7
392224,Chennai Super Kings,129,10
392224,Royal Challengers Bangalore,132,8
392225,Mumbai Indians,143,10
392225,Rajasthan Royals,145,7
392226,Delhi Daredevils,120,9
392226,Kings XI Punjab,123,4
392227,Chennai Super Kings,151,3
392227,Mumbai Indians,147,5
392228,Deccan Chargers,166,4
392228,Kolkata Knight Riders,160,5
392229,Deccan Chargers,133,8
392229,Kings XI Punjab,134,7
392230,Delhi Daredevils,150,3
392230,Rajasthan Royals,136,9
392231,Chennai Super Kings,188,3
392231,Kolkata Knight Riders,189,3
392232,Delhi Daredevils,134,7
392232,Royal Challengers Bangalore,135,3
392233,Kolkata Knight Riders,102,6
392233,Rajasthan Royals,101,9
392234,Chennai Super Kings,116,9
392234,Kings XI Punjab,92,8
392235,Delhi Daredevils,166,6
392235,Mumbai Indians,165,8
392236,Deccan Chargers,158,6
392236,Royal Challengers Bangalore,170,4
392237,Deccan Chargers,154,4
392237,Delhi Daredevils,153,8
392238,Chennai Super Kings,146,5
392238,Royal Challengers Bangalore,149,4
392239,Deccan Chargers,143,6
392239,Royal Challengers Bangalore,137,9
419106,Deccan Chargers,150,7
419106,Kolkata Knight Riders,161,4
419107,Mumbai Indians,212,7
419107,Rajasthan Royals,208,7
419108,Delhi Daredevils,146,5
419108,Kings XI Punjab,142,9
419109,Kolkata Knight Riders,136,3
419109,Royal Challengers Bangalore,135,7
419110,Chennai Super Kings,159,9
419110,Deccan Chargers,190,4
419111,Delhi Daredevils,142,4
419111,Rajasthan Royals,141,6
419112,Kings XI Punjab,203,3
419112,Royal Challengers Bangalore,204,2
419113,Chennai Super Kings,164,3
419113,Kolkata Knight Riders,109,10
419114,Delhi Daredevils,120,9
419114,Mumbai Indians,218,7
419115,Rajasthan Royals,92,10
419115,Royal Challengers Bangalore,93,0
419116,Chennai Super Kings,190,5
419116,Delhi Daredevils,185,6
419117,Deccan Chargers,170,8
419117,Kings XI Punjab,164,8
419118,Kolkata Knight Riders,134,5
419118,Rajasthan Royals,168,7
419119,Mumbai Indians,151,9
419119,Royal Challengers Bangalore,155,3
419120,Deccan Chargers,171,6
419120,Delhi Daredevils,161,9
419121,Chennai Super Kings,145,9
419121,Kings XI Punjab,146,9
419122,Kolkata Knight Riders,155,3
419122,Mumbai Indians,156,3
419123,Chennai Super Kings,135,7
419123,Royal Challengers Bangalore,171,5
419124,Kings XI Punjab,152,10
419124,Rajasthan Royals,183,5
419125,Chennai Super Kings,180,2
419125,Mumbai Indians,181,5
419126,Deccan Chargers,148,9
419126,Rajasthan Royals,151,2
419127,Kings XI Punjab,144,6
419127,Kolkata Knight Riders,183,5
419128,Delhi Daredevils,183,4
419128,Royal Challengers Bangalore,166,9
419129,Chennai Super Kings,160,6
419129,Rajasthan Royals,177,8
419130,Deccan Chargers,131,10
419130,Mumbai Indians,172,7
419131,Delhi Daredevils,177,4
419131,Kolkata Knight Riders,137,9
419132,Kings XI Punjab,163,10
419132,Mumbai Indians,164,6
419133,Chennai Super Kings,162,5
419133,Royal Challengers Bangalore,161,4
419134,Delhi Daredevils,188,6
419134,Rajasthan Royals,121,10
419135,Deccan Chargers,157,5
419135,Kolkata Knight Riders,181,6
419136,Kings XI Punjab,181,5
419136,Royal Challengers Bangalore,184,4
419137,Chennai Super Kings,246,5
419137,Rajasthan Royals,223,5
419138,Deccan Chargers,115,10
419138,Mumbai Indians,178,5
419139,Kings XI Punjab,204,2
419139,Kolkata Knight Riders,200,3
419140,Delhi Daredevils,184,5
419140,Royal Challengers Bangalore,147,9
419141,Deccan Chargers,157,10
419141,Rajasthan Royals,159,10
419142,Chennai Super Kings,165,4
419142,Mumbai Indians,141,9
419143,Kings XI Punjab,153,6
419143,Rajasthan Royals,157,1
419144,Delhi Daredevils,167,8
419144,Kolkata Knight Riders,181,3
419145,Deccan Chargers,186,3
419145,Royal Challengers Bangalore,184,6
419146,Kings XI Punjab,158,4
419146,Mumbai Indians,154,9
419147,Chennai Super Kings,138,8
419147,Deccan Chargers,139,4
419148,Kolkata Knight Riders,160,9
419148,Royal Challengers Bangalore,162,3
419149,Delhi Daredevils,111,10
419149,Kings XI Punjab,112,3
419150,Mumbai Indians,174,5
419150,Rajasthan Royals,137,8
419151,Deccan Chargers,151,6
419151,Royal Challengers Bangalore,138,10
419152,Delhi Daredevils,144,7
419152,Mumbai Indians,183,4
419153,Chennai Super Kings,143,1
419153,Kolkata Knight Riders,139,8
419154,Rajasthan Royals,130,6
419154,Royal Challengers Bangalore,132,5
419155,Chennai Super Kings,112,9
419155,Delhi Daredevils,113,4
419156,Deccan Chargers,178,5
419156,Kings XI Punjab,174,3
419157,Mumbai Indians,191,4
419157,Royal Challengers Bangalore,134,9
419158,Kolkata Knight Riders,133,2
419158,Rajasthan Royals,132,9
419159,Chennai Super Kings,195,4
419159,Kings XI Punjab,192,3
419160,Deccan Chargers,145,7
419160,Delhi Daredevils,134,7
419161,Kolkata Knight Riders,135,1
419161,Mumbai Indians,133,8
419162,Mumbai Indians,184,5
419162,Royal Challengers Bangalore,149,9
419163,Chennai Super Kings,142,7
419163,Deccan Chargers,104,10
419164,Deccan Chargers,82,10
419164,Royal Challengers Bangalore,86,1
419165,Chennai Super Kings,168,5
419165,Mumbai Indians,146,9
501198,Chennai Super Kings,153,4
501198,Kolkata Knight Riders,151,7
501199,Deccan Chargers,137,8
501199,Rajasthan Royals,141,2
501200,Kochi Tuskers Kerala,161,5
501200,Royal Challengers Bangalore,162,4
501201,Delhi Daredevils,95,10
501201,Mumbai Indians,99,2
501202,Kings XI Punjab,112,8
501202,Pune Warriors,113,3
501203,Deccan Chargers,154,8
501203,Kolkata Knight Riders,163,4
501204,Delhi Daredevils,151,6
501204,Rajasthan Royals,152,4
501205,Mumbai Indians,143,1
501205,Royal Challengers Bangalore,140,4
501206,Chennai Super Kings,188,4
501206,Kings XI Punjab,193,4
501207,Kochi Tuskers Kerala,148,8
501207,Pune Warriors,151,6
501208,Deccan Chargers,175,5
501208,Royal Challengers Bangalore,142,9
501209,Kolkata Knight Riders,160,1
501209,Rajasthan Royals,159,4
501210,Kochi Tuskers Kerala,184,2
501210,Mumbai Indians,182,2
501211,Chennai Super Kings,183,5
501211,Royal Challengers Bangalore,162,7
501212,Deccan Chargers,165,8
501212,Kings XI Punjab,166,2
501213,Delhi Daredevils,190,7
501213,Pune Warriors,187,5
501214,Kolkata Knight Riders,85,2
501214,Rajasthan Royals,81,10
501215,Chennai Super Kings,131,4
501215,Kochi Tuskers Kerala,135,3
501216,Deccan Chargers,168,4
501216,Delhi Daredevils,152,7
501218,Mumbai Indians,124,3
501218,Pune Warriors,118,10
501219,Kochi Tuskers Kerala,132,7
501219,Kolkata Knight Riders,126,9
501220,Kings XI Punjab,195,7
501220,Rajasthan Royals,147,7
501221,Chennai Super Kings,156,9
501221,Mumbai Indians,164,4
501222,Kolkata Knight Riders,171,5
501222,Royal Challengers Bangalore,175,1
501223,Delhi Daredevils,231,4
501223,Kings XI Punjab,202,6
501224,Deccan Chargers,135,8
501224,Mumbai Indians,172,4
501225,Kochi Tuskers Kerala,109,10
501225,Rajasthan Royals,111,2
501226,Chennai Super Kings,142,6
501226,Pune Warriors,117,9
501227,Delhi Daredevils,160,6
501227,Royal Challengers Bangalore,161,7
501228,Chennai Super Kings,145,2
501228,Pune Warriors,141,6
501229,Deccan Chargers,129,7
501229,Kochi Tuskers Kerala,74,10
501230,Delhi Daredevils,131,9
501230,Kolkata Knight Riders,148,7
501231,Mumbai Indians,94,8
501231,Rajasthan Royals,95,3
501232,Pune Warriors,155,5
501232,Royal Challengers Bangalore,181,5
501233,Delhi Daredevils,157,7
501233,Kochi Tuskers Kerala,119,10
501234,Kings XI Punjab,119,6
501234,Kolkata Knight Riders,120,2
501235,Pune Warriors,143,7
501235,Rajasthan Royals,144,4
